season,section_e,division_e,mean_beneficial_fraction,mean_crop_water_deficit,mean_relative_water_deficit,mean_total_seasonal_biomass_production,mean_seasonal_yield,mean_crop_water_productivity,median_beneficial_fraction,median_crop_water_deficit,median_relative_water_deficit,median_total_seasonal_biomass_production,median_seasonal_yield,median_crop_water_productivity,min_beneficial_fraction,min_crop_water_deficit,min_relative_water_deficit,min_total_seasonal_biomass_production,min_seasonal_yield,min_crop_water_productivity,max_beneficial_fraction,max_crop_water_deficit,max_relative_water_deficit,max_total_seasonal_biomass_production,max_seasonal_yield,max_crop_water_productivity,std_beneficial_fraction,std_crop_water_deficit,std_relative_water_deficit,std_total_seasonal_biomass_production,std_seasonal_yield,std_crop_water_productivity,q25_beneficial_fraction,q25_crop_water_deficit,q25_relative_water_deficit,q25_total_seasonal_biomass_production,q25_seasonal_yield,q25_crop_water_productivity,q25_quantile,q75_beneficial_fraction,q75_crop_water_deficit,q75_relative_water_deficit,q75_total_seasonal_biomass_production,q75_seasonal_yield,q75_crop_water_productivity,q75_quantile,section_a,division_a
2022-2023,Um_Suneita,Matouri,0.75,0.28,0.72,4.59,1.16,0.18,0.78,0.28,0.72,4.76,1.2,0.18,0.17,0.05,0.41,0.48,0.12,0.1,0.87,0.59,0.95,10.09,2.55,0.22,0.12,0.11,0.11,2.03,0.51,0.02,0.73,0.21,0.65,3.2,0.81,0.17,0.25,0.81,0.35,0.79,5.64,1.42,0.19,0.75,ام صونيتة,ماطوري
2022-2023,Disheinat,Matouri,0.78,0.39,0.61,6.11,1.54,0.18,0.79,0.37,0.63,5.94,1.5,0.18,0.19,0.06,0.22,0.56,0.14,0.1,0.86,0.78,0.94,13.19,3.33,0.21,0.06,0.13,0.13,2.2,0.56,0.02,0.75,0.3,0.56,4.64,1.17,0.17,0.25,0.82,0.44,0.7,7.08,1.79,0.19,0.75,ديشينات,ماطوري
2022-2023,Um_Gargor,Elshawal,0.79,0.41,0.59,6.6,1.67,0.18,0.8,0.4,0.6,6.64,1.68,0.19,0.46,0.08,0.21,0.91,0.23,0.13,0.88,0.79,0.92,12.39,3.13,0.23,0.04,0.08,0.08,1.46,0.37,0.01,0.78,0.36,0.54,5.75,1.45,0.18,0.25,0.82,0.46,0.64,7.55,1.91,0.19,0.75,ام قرقور,الشوال
2022-2023,Al_Gamosi,Gabouga,0.75,0.32,0.68,5.07,1.28,0.18,0.77,0.32,0.68,5.16,1.3,0.18,0.21,0.07,0.39,0.59,0.15,0.08,0.86,0.61,0.93,10.03,2.53,0.21,0.07,0.07,0.07,1.41,0.36,0.02,0.74,0.28,0.63,4.29,1.09,0.17,0.25,0.79,0.37,0.72,6.05,1.53,0.19,0.75,الجاموسي,جابوقا
2022-2023,Gabouga,Gabouga,0.77,0.34,0.66,5.32,1.34,0.18,0.79,0.34,0.66,5.4,1.36,0.18,0.25,0.07,0.47,0.59,0.15,0.1,0.86,0.53,0.93,8.38,2.12,0.21,0.06,0.08,0.08,1.5,0.38,0.01,0.75,0.28,0.6,4.38,1.11,0.17,0.25,0.81,0.4,0.72,6.38,1.61,0.19,0.75,جابوقا,جابوقا
2022-2023,Elshawal_Al_Riyasa,Elshawal,0.78,0.36,0.64,5.86,1.48,0.18,0.79,0.37,0.63,6.0,1.52,0.19,0.47,0.09,0.38,1.11,0.28,0.13,0.87,0.62,0.91,10.3,2.6,0.21,0.05,0.08,0.08,1.46,0.37,0.01,0.76,0.31,0.59,4.99,1.26,0.18,0.25,0.81,0.41,0.69,6.83,1.73,0.19,0.75,الشوال الرئاسة,الشوال
2022-2023,El_waha,Elshawal,0.79,0.37,0.63,5.84,1.48,0.18,0.8,0.38,0.62,5.96,1.51,0.18,0.41,0.05,0.35,0.56,0.14,0.09,0.86,0.65,0.95,11.1,2.8,0.21,0.04,0.08,0.08,1.37,0.35,0.01,0.77,0.33,0.58,5.11,1.29,0.17,0.25,0.82,0.42,0.67,6.75,1.71,0.18,0.75,الواحة,الشوال
2022-2023,Ranjouk,Gabouga,0.78,0.37,0.63,5.7,1.44,0.17,0.79,0.38,0.62,5.83,1.47,0.18,0.2,0.07,0.43,0.59,0.15,0.1,0.85,0.57,0.93,9.09,2.3,0.2,0.06,0.09,0.09,1.49,0.38,0.01,0.76,0.32,0.56,4.8,1.21,0.17,0.25,0.82,0.44,0.68,6.81,1.72,0.18,0.75,رانجوك,جابوقا
2023-2024,57,Wad Elnaw,0.79,0.36,0.64,4.57,1.15,0.15,0.8,0.36,0.64,4.75,1.2,0.15,0.18,0.05,0.28,0.25,0.06,0.04,0.87,0.72,0.95,8.8,2.22,0.21,0.07,0.09,0.09,1.32,0.33,0.02,0.77,0.31,0.59,3.79,0.96,0.14,0.25,0.82,0.41,0.69,5.5,1.39,0.16,0.75,57,ود النو
2023-2024,88,Elbasatna,0.8,0.38,0.62,5.21,1.32,0.16,0.81,0.38,0.62,5.29,1.34,0.16,0.0,0.05,0.3,0.15,0.04,0.04,0.87,0.7,0.95,9.24,2.34,0.21,0.06,0.08,0.08,1.34,0.34,0.02,0.79,0.33,0.58,4.44,1.12,0.15,0.25,0.83,0.42,0.67,6.1,1.54,0.17,0.75,88,البساتنا
2023-2024,Abdah_Fadul,Tabat,0.78,0.34,0.66,5.04,1.27,0.17,0.79,0.35,0.65,5.35,1.35,0.17,0.0,0.05,0.45,0.25,0.06,0.06,0.87,0.55,0.95,7.95,2.01,0.25,0.08,0.09,0.09,1.51,0.38,0.02,0.76,0.29,0.59,4.11,1.04,0.15,0.25,0.82,0.41,0.71,6.2,1.57,0.18,0.75,عبد الفاضل,طابت
2023-2024,Abu_Gin,Kab_Elgidad,0.77,0.29,0.71,4.83,1.22,0.18,0.78,0.29,0.71,4.73,1.2,0.18,0.0,0.04,0.19,0.14,0.04,0.04,0.88,0.81,0.96,12.93,3.27,0.3,0.06,0.09,0.09,1.88,0.48,0.04,0.75,0.24,0.67,3.47,0.88,0.16,0.25,0.81,0.33,0.76,6.02,1.52,0.2,0.75,ابو جن,كاب الدجاج
2023-2024,Abu_Hawa,Elhafair,0.76,0.32,0.68,4.81,1.22,0.17,0.77,0.3,0.7,4.6,1.16,0.16,0.32,0.06,0.29,0.68,0.17,0.08,0.85,0.71,0.94,9.9,2.5,0.24,0.06,0.13,0.13,2.0,0.51,0.03,0.74,0.24,0.64,3.26,0.82,0.15,0.25,0.8,0.36,0.76,5.97,1.51,0.18,0.75,ابو حوا,الحفاير
2023-2024,Abu_Quta,Abd_ElMagid,0.77,0.25,0.75,4.12,1.04,0.18,0.79,0.26,0.74,4.08,1.03,0.18,0.02,0.02,0.56,0.23,0.06,0.09,0.9,0.44,0.98,8.68,2.19,0.26,0.08,0.08,0.08,1.7,0.43,0.04,0.75,0.2,0.7,2.81,0.71,0.15,0.25,0.81,0.3,0.8,5.34,1.35,0.21,0.75,ابو قوتا,عبد المجيد
2023-2024,Abu_Usher,Al_Gourashi,0.78,0.35,0.65,5.45,1.38,0.18,0.79,0.34,0.66,5.5,1.39,0.18,0.0,0.04,0.27,0.07,0.02,0.02,0.87,0.73,0.96,10.17,2.57,0.26,0.07,0.1,0.1,1.79,0.45,0.03,0.76,0.28,0.6,4.2,1.06,0.16,0.25,0.82,0.4,0.72,6.77,1.71,0.19,0.75,ابو عشر,القرشي
2023-2024,Affan,Matouri,0.77,0.35,0.65,4.86,1.23,0.16,0.78,0.34,0.66,4.92,1.24,0.16,0.22,0.07,0.33,0.48,0.12,0.08,0.88,0.67,0.93,9.49,2.4,0.24,0.07,0.1,0.1,1.72,0.43,0.03,0.75,0.28,0.6,3.62,0.92,0.14,0.25,0.81,0.4,0.72,5.97,1.51,0.17,0.75,عفان,ماطوري
2023-2024,Al_Awamrah,Abd_ElMagid,0.8,0.27,0.73,4.84,1.22,0.19,0.81,0.28,0.72,5.09,1.29,0.2,0.32,0.04,0.5,0.47,0.12,0.08,0.9,0.5,0.96,9.76,2.47,0.28,0.06,0.08,0.08,1.88,0.47,0.03,0.78,0.21,0.67,3.35,0.85,0.17,0.25,0.84,0.33,0.79,6.22,1.57,0.21,0.75,العوامرة,عبد المجيد
2023-2024,Al_Saadana,Turabi,0.78,0.35,0.65,5.47,1.38,0.17,0.79,0.35,0.65,5.56,1.41,0.18,0.04,0.04,0.27,0.06,0.01,0.01,0.87,0.73,0.96,10.32,2.61,0.29,0.06,0.09,0.09,1.7,0.43,0.03,0.76,0.29,0.59,4.24,1.07,0.16,0.25,0.82,0.41,0.71,6.75,1.71,0.19,0.75,السعدانا,الترابي
2023-2024,Umm_Juha,Turabi,0.76,0.27,0.73,4.32,1.09,0.17,0.78,0.27,0.73,4.16,1.05,0.17,0.24,0.02,0.35,0.3,0.07,0.08,0.9,0.65,0.98,10.17,2.57,0.28,0.08,0.1,0.1,1.84,0.47,0.03,0.74,0.2,0.68,3.08,0.78,0.15,0.25,0.81,0.32,0.8,5.43,1.37,0.19,0.75,ام جها,الترابي
2023-2024,Turabi_Al_Riyasa,Turabi,0.77,0.31,0.69,4.93,1.25,0.17,0.78,0.31,0.69,4.84,1.22,0.17,0.0,0.04,0.4,0.01,0.0,0.0,0.89,0.6,0.96,9.82,2.48,0.29,0.08,0.08,0.08,1.71,0.43,0.03,0.75,0.26,0.64,3.67,0.93,0.15,0.25,0.81,0.36,0.74,6.15,1.55,0.2,0.75,الترابي الرئاسة,الترابي
2023-2024,Wad_Bala,Turabi,0.78,0.31,0.69,4.7,1.19,0.17,0.79,0.3,0.7,4.64,1.17,0.17,0.01,0.03,0.37,0.13,0.03,0.03,0.88,0.63,0.97,9.59,2.43,0.27,0.07,0.09,0.09,1.62,0.41,0.03,0.75,0.25,0.64,3.56,0.9,0.15,0.25,0.82,0.36,0.75,5.75,1.45,0.19,0.75,ود بلا,الترابي
2023-2024,Fargin,Kab_Elgidad,0.77,0.26,0.74,4.32,1.09,0.18,0.79,0.26,0.74,4.24,1.07,0.18,0.22,0.04,0.55,0.39,0.1,0.09,0.87,0.45,0.96,9.28,2.35,0.3,0.06,0.07,0.07,1.67,0.42,0.04,0.76,0.21,0.69,3.16,0.8,0.16,0.25,0.81,0.31,0.79,5.45,1.38,0.21,0.75,فارقين,كاب الدجاج
2023-2024,Abd_ElMagid_Al_Riyasa,Abd_ElMagid,0.77,0.33,0.67,5.08,1.29,0.17,0.78,0.31,0.69,4.92,1.24,0.18,0.39,0.05,0.27,0.25,0.06,0.06,0.86,0.73,0.95,11.14,2.82,0.24,0.07,0.13,0.13,2.34,0.59,0.03,0.74,0.23,0.6,3.22,0.81,0.15,0.25,0.81,0.4,0.77,6.73,1.7,0.19,0.75,عبد المجيد الرئاسة,عبد المجيد
2023-2024,Fawar,Tabat,0.74,0.29,0.71,4.4,1.11,0.16,0.76,0.3,0.7,4.25,1.07,0.16,0.05,0.04,0.45,0.25,0.06,0.07,0.87,0.55,0.96,9.55,2.41,0.29,0.1,0.1,0.1,2.02,0.51,0.04,0.73,0.23,0.64,2.87,0.73,0.14,0.25,0.8,0.36,0.77,5.8,1.47,0.19,0.75,فوار,طابت
2023-2024,Abd_Elmagid,Surhan,0.78,0.3,0.7,4.64,1.17,0.17,0.79,0.3,0.7,4.47,1.13,0.17,0.42,0.05,0.47,0.5,0.13,0.09,0.87,0.53,0.95,8.62,2.18,0.27,0.06,0.1,0.1,1.87,0.47,0.03,0.76,0.23,0.63,3.32,0.84,0.15,0.25,0.82,0.37,0.77,5.98,1.51,0.19,0.75,عبد المجيد,سورهان
2023-2024,Surhan_Al_Riyasa,Surhan,0.77,0.32,0.68,4.64,1.17,0.16,0.78,0.31,0.69,4.46,1.13,0.16,0.02,0.05,0.39,0.28,0.07,0.06,0.87,0.61,0.95,10.4,2.63,0.26,0.07,0.09,0.09,1.74,0.44,0.03,0.74,0.26,0.63,3.37,0.85,0.14,0.25,0.81,0.37,0.74,5.91,1.49,0.18,0.75,سورهان الرئاسة,سورهان
2023-2024,Istarhna,Al_Gourashi,0.76,0.29,0.71,4.07,1.03,0.16,0.77,0.29,0.71,4.09,1.03,0.16,0.19,0.06,0.5,0.33,0.08,0.06,0.87,0.5,0.94,7.44,1.88,0.23,0.06,0.07,0.07,1.25,0.32,0.02,0.74,0.24,0.65,3.14,0.79,0.14,0.25,0.8,0.35,0.76,4.93,1.25,0.17,0.75,استرحنا,القرشي
2023-2024,Al_Gourashi_Al_Riyasa,Al_Gourashi,0.78,0.33,0.67,4.82,1.22,0.16,0.8,0.34,0.66,4.9,1.24,0.16,0.09,0.05,0.27,0.0,0.0,0.0,0.88,0.73,0.95,9.02,2.28,0.24,0.07,0.08,0.08,1.57,0.4,0.03,0.76,0.29,0.61,3.74,0.95,0.14,0.25,0.82,0.39,0.71,5.97,1.51,0.18,0.75,القرشي الرئاسة,القرشي
2023-2024,El_Rukun,Tabat,0.78,0.33,0.67,4.84,1.22,0.16,0.79,0.34,0.66,4.99,1.26,0.17,0.25,0.06,0.46,0.55,0.14,0.07,0.88,0.54,0.94,8.41,2.13,0.23,0.06,0.08,0.08,1.58,0.4,0.03,0.76,0.27,0.61,3.68,0.93,0.14,0.25,0.81,0.39,0.73,6.04,1.53,0.18,0.75,الركن,طابت
2023-2024,Wad_El_Saiyid,Elmessellamia,0.77,0.32,0.68,4.63,1.17,0.16,0.79,0.33,0.67,4.63,1.17,0.16,0.1,0.05,0.49,0.4,0.1,0.08,0.87,0.51,0.95,8.29,2.1,0.22,0.06,0.07,0.07,1.43,0.36,0.03,0.76,0.28,0.62,3.61,0.91,0.14,0.25,0.81,0.38,0.72,5.63,1.42,0.18,0.75,ود السيد,المسلمية
2023-2024,Al_Firijab,Surhan,0.78,0.33,0.67,4.68,1.18,0.16,0.79,0.34,0.66,4.74,1.2,0.16,0.35,0.08,0.48,0.78,0.2,0.1,0.86,0.52,0.92,7.53,1.9,0.22,0.06,0.07,0.07,1.28,0.32,0.02,0.76,0.29,0.63,3.83,0.97,0.14,0.25,0.81,0.37,0.71,5.59,1.41,0.17,0.75,الفريجاب,سورهان
2023-2024,Tannub,Tabat,0.79,0.39,0.61,5.92,1.5,0.17,0.8,0.4,0.6,6.11,1.54,0.17,0.13,0.06,0.3,0.44,0.11,0.09,0.87,0.7,0.94,9.78,2.47,0.23,0.05,0.09,0.09,1.52,0.38,0.02,0.78,0.35,0.56,5.1,1.29,0.16,0.25,0.82,0.44,0.65,6.93,1.75,0.18,0.75,طنوب,طابت
2023-2024,Tabat_Al_Riyasa,Tabat,0.79,0.37,0.63,5.56,1.4,0.17,0.8,0.38,0.62,5.69,1.44,0.17,0.06,0.06,0.25,0.33,0.08,0.07,0.87,0.75,0.94,10.29,2.6,0.24,0.06,0.08,0.08,1.35,0.34,0.02,0.77,0.33,0.58,4.75,1.2,0.16,0.25,0.82,0.42,0.67,6.53,1.65,0.18,0.75,طابت الرئاسة,طابت
2023-2024,Saad_Allah,Elmessellamia,0.78,0.37,0.63,5.31,1.34,0.16,0.79,0.37,0.63,5.37,1.36,0.16,0.13,0.07,0.29,0.46,0.12,0.08,0.87,0.71,0.93,9.33,2.36,0.23,0.06,0.1,0.1,1.62,0.41,0.02,0.76,0.31,0.58,4.27,1.08,0.15,0.25,0.81,0.42,0.69,6.4,1.62,0.18,0.75,سعد الله,المسلمية
2023-2024,Wad_ElBurr,Wad_ElBurr,0.79,0.4,0.6,5.95,1.5,0.17,0.8,0.4,0.6,6.1,1.54,0.17,0.08,0.06,0.27,0.38,0.1,0.07,0.87,0.73,0.94,9.55,2.41,0.24,0.05,0.08,0.08,1.36,0.34,0.02,0.78,0.36,0.56,5.29,1.34,0.16,0.25,0.82,0.44,0.64,6.78,1.71,0.18,0.75,ود البر,ود النو
2023-2024,Wad_Hilal,Wad_ElBurr,0.77,0.32,0.68,4.49,1.14,0.16,0.78,0.32,0.68,4.62,1.17,0.16,0.2,0.06,0.5,0.39,0.1,0.08,0.85,0.5,0.94,7.09,1.79,0.23,0.07,0.09,0.09,1.35,0.34,0.02,0.76,0.27,0.62,3.58,0.9,0.15,0.25,0.81,0.38,0.73,5.48,1.38,0.17,0.75,ود هلال,ود النو
2023-2024,Elmessellamia_Al_Riyasa,Elmessellamia,0.79,0.38,0.62,5.43,1.37,0.16,0.8,0.39,0.61,5.57,1.41,0.17,0.46,0.1,0.41,0.88,0.22,0.1,0.85,0.59,0.9,8.45,2.13,0.22,0.04,0.06,0.06,1.18,0.3,0.02,0.77,0.35,0.58,4.74,1.2,0.15,0.25,0.81,0.42,0.65,6.28,1.59,0.18,0.75,المسلمية الرئاسة,المسلمية
2023-2024,Beika,Elmessellamia,0.78,0.36,0.64,5.18,1.31,0.16,0.79,0.37,0.63,5.32,1.34,0.17,0.0,0.06,0.36,0.19,0.05,0.04,0.87,0.64,0.94,9.85,2.49,0.22,0.07,0.09,0.09,1.54,0.39,0.02,0.77,0.31,0.58,4.22,1.07,0.15,0.25,0.82,0.42,0.69,6.24,1.58,0.18,0.75,بيكا,المسلمية
2023-2024,Bortobeil,Elbasatna,0.79,0.38,0.62,5.53,1.4,0.17,0.8,0.39,0.61,5.72,1.45,0.17,0.12,0.07,0.3,0.39,0.1,0.07,0.86,0.7,0.93,9.03,2.28,0.22,0.06,0.08,0.08,1.27,0.32,0.02,0.78,0.35,0.58,4.93,1.25,0.16,0.25,0.82,0.42,0.65,6.31,1.59,0.18,0.75,بورتوبيل,البساتنا
2023-2024,Barakat_Al_Riyasa,Elbasatna,0.8,0.38,0.62,5.35,1.35,0.16,0.81,0.39,0.61,5.54,1.4,0.16,0.12,0.05,0.44,0.37,0.09,0.08,0.87,0.56,0.95,8.62,2.18,0.21,0.06,0.09,0.09,1.44,0.36,0.02,0.78,0.33,0.55,4.5,1.14,0.15,0.25,0.83,0.45,0.67,6.48,1.64,0.17,0.75,بركات الرئاسة,البساتنا
2023-2024,Wad_Figda,Hag Abdalla and North West Sennar,0.78,0.38,0.62,4.7,1.19,0.15,0.8,0.38,0.62,4.9,1.24,0.15,0.0,0.05,0.42,0.16,0.04,0.04,0.86,0.58,0.95,7.41,1.87,0.19,0.07,0.09,0.09,1.32,0.33,0.02,0.77,0.32,0.56,3.84,0.97,0.14,0.25,0.82,0.44,0.68,5.73,1.45,0.16,0.75,ود فجدا,حاج عبد الله وشمال شرق سنار
2023-2024,Al_Toman,Wad Elnaw,0.78,0.34,0.66,4.45,1.12,0.16,0.79,0.34,0.66,4.65,1.17,0.16,0.0,0.04,0.38,0.15,0.04,0.05,0.86,0.62,0.96,7.62,1.93,0.22,0.07,0.09,0.09,1.33,0.34,0.02,0.76,0.29,0.61,3.58,0.9,0.14,0.25,0.81,0.39,0.71,5.4,1.37,0.17,0.75,التومان,ود النو
2023-2024,Hag_Abdalla,Hag Abdalla and North West Sennar,0.8,0.34,0.66,4.47,1.13,0.15,0.81,0.35,0.65,4.69,1.19,0.16,0.05,0.04,0.5,0.26,0.07,0.06,0.87,0.5,0.96,7.18,1.81,0.2,0.06,0.07,0.07,1.19,0.3,0.02,0.78,0.3,0.61,3.71,0.94,0.14,0.25,0.83,0.39,0.7,5.36,1.35,0.17,0.75,حاج عبد الله,حاج عبد الله وشمال شرق سنار
2023-2024,Wad_Elnaw_Al_Riyasa,Wad Elnaw,0.8,0.37,0.63,4.93,1.25,0.15,0.81,0.37,0.63,5.04,1.27,0.16,0.1,0.04,0.26,0.23,0.06,0.06,0.87,0.74,0.96,9.72,2.46,0.22,0.05,0.09,0.09,1.39,0.35,0.02,0.79,0.32,0.58,4.03,1.02,0.14,0.25,0.83,0.42,0.68,5.88,1.49,0.17,0.75,ود النو الرئاسة,ود النو
2023-2024,Hadad,Hag Abdalla and North West Sennar,0.8,0.38,0.62,4.72,1.19,0.15,0.8,0.39,0.61,4.93,1.25,0.15,0.09,0.05,0.35,0.29,0.07,0.07,0.86,0.65,0.95,7.64,1.93,0.19,0.05,0.07,0.07,1.11,0.28,0.02,0.78,0.34,0.57,4.08,1.03,0.14,0.25,0.82,0.43,0.66,5.52,1.4,0.16,0.75,حداد,حاج عبد الله وشمال شرق سنار
2023-2024,Gundal,Hag Abdalla and North West Sennar,0.79,0.35,0.65,4.2,1.06,0.14,0.8,0.35,0.65,4.34,1.1,0.14,0.29,0.07,0.43,0.49,0.12,0.08,0.86,0.57,0.93,6.93,1.75,0.18,0.06,0.09,0.09,1.27,0.32,0.02,0.77,0.3,0.58,3.36,0.85,0.13,0.25,0.82,0.42,0.7,5.25,1.33,0.15,0.75,قوندال,حاج عبد الله وشمال شرق سنار
2023-2024,Fahal,El_Mukhtar,0.78,0.37,0.63,4.68,1.18,0.15,0.79,0.36,0.64,4.74,1.2,0.15,0.14,0.06,0.29,0.35,0.09,0.08,0.86,0.71,0.94,9.03,2.28,0.23,0.06,0.13,0.13,1.73,0.44,0.02,0.76,0.28,0.56,3.45,0.87,0.14,0.25,0.81,0.44,0.72,5.74,1.45,0.16,0.75,فحل,المختار
2023-2024,Hamadna_Allah,El_Mukhtar,0.77,0.31,0.69,4.16,1.05,0.15,0.78,0.31,0.69,4.27,1.08,0.16,0.03,0.05,0.42,0.12,0.03,0.03,0.86,0.58,0.95,7.79,1.97,0.24,0.07,0.08,0.08,1.44,0.36,0.03,0.75,0.26,0.63,3.02,0.76,0.13,0.25,0.81,0.37,0.74,5.23,1.32,0.17,0.75,حمدنا الله,المختار
2023-2024,Um_Degina,El_Mukhtar,0.77,0.36,0.64,4.92,1.24,0.15,0.78,0.33,0.67,4.73,1.2,0.16,0.15,0.05,0.29,0.37,0.09,0.08,0.88,0.71,0.95,9.65,2.44,0.24,0.06,0.13,0.13,1.96,0.5,0.02,0.75,0.28,0.58,3.52,0.89,0.14,0.25,0.81,0.42,0.72,6.09,1.54,0.17,0.75,ام دقينة,المختار
2023-2024,Shaliee_Al_Riyasa,Shaliee,0.79,0.37,0.63,5.25,1.33,0.16,0.8,0.37,0.63,5.43,1.37,0.16,0.16,0.07,0.3,0.0,0.0,0.0,0.86,0.7,0.93,10.02,2.53,0.26,0.06,0.08,0.08,1.46,0.37,0.02,0.78,0.32,0.58,4.31,1.09,0.15,0.25,0.82,0.42,0.68,6.3,1.59,0.17,0.75,شالي الرئاسة,شالي
2023-2024,Wad_Elzain,Shaliee,0.78,0.35,0.65,4.8,1.21,0.15,0.79,0.34,0.66,4.77,1.2,0.16,0.09,0.05,0.34,0.34,0.09,0.07,0.87,0.66,0.95,9.42,2.38,0.24,0.06,0.09,0.09,1.69,0.43,0.03,0.76,0.29,0.6,3.55,0.9,0.14,0.25,0.82,0.4,0.71,6.07,1.54,0.17,0.75,ود الزين,شالي
2023-2024,Shandi,Shaliee,0.76,0.29,0.71,4.18,1.06,0.16,0.77,0.29,0.71,4.07,1.03,0.16,0.2,0.04,0.53,0.36,0.09,0.09,0.85,0.47,0.96,8.65,2.19,0.27,0.07,0.07,0.07,1.54,0.39,0.04,0.75,0.25,0.67,2.96,0.75,0.13,0.25,0.8,0.33,0.75,5.25,1.33,0.18,0.75,شندي,شالي
2023-2024,Elhurga_Nuraldin,Elhurga/Nuraldin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,0.75,الحورقا نور الدين,الحورقا نور الدين
2023-2024,El_Sharqi_Al_Riyasa,Al Genied,0.76,0.25,0.75,3.61,0.91,0.16,0.77,0.25,0.75,3.47,0.88,0.16,0.15,0.03,0.54,0.27,0.07,0.09,0.9,0.46,0.97,7.86,1.99,0.24,0.08,0.08,0.08,1.48,0.37,0.03,0.74,0.2,0.71,2.55,0.65,0.14,0.25,0.8,0.29,0.8,4.55,1.15,0.18,0.75,الشارف الرئاسة,الجنيد
2023-2024,El_Ariga,EL_Mansi,0.76,0.32,0.68,4.28,1.08,0.15,0.77,0.32,0.68,4.16,1.05,0.15,0.35,0.09,0.48,0.83,0.21,0.09,0.85,0.52,0.91,8.83,2.23,0.25,0.06,0.07,0.07,1.44,0.37,0.03,0.73,0.27,0.63,3.22,0.81,0.13,0.25,0.8,0.37,0.73,5.28,1.33,0.16,0.75,العريقة,المنسي
2023-2024,Shakir,EL_Mansi,0.76,0.31,0.69,4.49,1.13,0.16,0.78,0.29,0.71,4.35,1.1,0.16,0.25,0.05,0.31,0.44,0.11,0.09,0.86,0.69,0.95,10.33,2.61,0.28,0.07,0.1,0.1,1.88,0.48,0.03,0.74,0.24,0.63,3.11,0.79,0.14,0.25,0.81,0.37,0.76,5.84,1.48,0.18,0.75,شاكر,المنسي
2023-2024,EL_Nala,El_Tahameed,0.76,0.28,0.72,4.41,1.12,0.17,0.78,0.29,0.71,4.33,1.09,0.17,0.0,0.04,0.49,0.01,0.0,0.0,0.87,0.51,0.96,8.88,2.24,0.26,0.09,0.09,0.09,1.8,0.46,0.03,0.75,0.23,0.66,3.04,0.77,0.15,0.25,0.8,0.34,0.77,5.69,1.44,0.19,0.75,النالا,التحاميد
2023-2024,EL_Mansi_Al_Riyasa,EL_Mansi,0.78,0.34,0.66,4.76,1.2,0.16,0.79,0.34,0.66,4.84,1.22,0.16,0.0,0.04,0.41,0.2,0.05,0.04,0.86,0.59,0.96,8.66,2.19,0.26,0.07,0.08,0.08,1.53,0.39,0.03,0.76,0.29,0.61,3.81,0.96,0.14,0.25,0.81,0.39,0.71,5.88,1.49,0.17,0.75,المنسي الرئاسة,المنسي
2023-2024,El_Tahameed_Al_Riyasa,El_Tahameed,0.78,0.33,0.67,4.99,1.26,0.17,0.79,0.32,0.68,4.88,1.23,0.17,0.12,0.05,0.35,0.37,0.09,0.08,0.87,0.65,0.95,10.61,2.68,0.28,0.05,0.09,0.09,1.85,0.47,0.03,0.76,0.26,0.63,3.55,0.9,0.15,0.25,0.81,0.37,0.74,6.19,1.57,0.18,0.75,التحاميد الرئاسة,التحاميد
2023-2024,Tku,El_Tahameed,0.77,0.31,0.69,4.52,1.14,0.16,0.78,0.3,0.7,4.28,1.08,0.16,0.05,0.01,0.25,0.21,0.05,0.08,0.88,0.75,0.99,11.65,2.94,0.29,0.07,0.11,0.11,1.84,0.46,0.03,0.75,0.25,0.63,3.2,0.81,0.14,0.25,0.81,0.37,0.75,5.64,1.43,0.17,0.75,توك,التحاميد
2023-2024,Al_Tarfa,Elfakhakhir,0.77,0.41,0.59,6.15,1.55,0.16,0.78,0.38,0.62,5.91,1.49,0.17,0.0,0.04,0.26,0.0,0.0,0.0,0.86,0.74,0.96,11.15,2.82,0.27,0.07,0.15,0.15,2.51,0.64,0.03,0.75,0.29,0.44,3.98,1.01,0.15,0.25,0.8,0.56,0.71,8.52,2.15,0.18,0.75,الطرفا,الفخاخير
2023-2024,Al_Taayif,Elfakhakhir,0.77,0.35,0.65,4.74,1.2,0.15,0.78,0.34,0.66,4.74,1.2,0.15,0.0,0.06,0.28,0.01,0.0,0.0,0.87,0.72,0.94,10.75,2.72,0.26,0.06,0.1,0.1,1.62,0.41,0.03,0.75,0.29,0.6,3.59,0.91,0.13,0.25,0.81,0.4,0.71,5.74,1.45,0.17,0.75,الطايف,الفخاخير
2023-2024,Al_Krimit,Elfakhakhir,0.78,0.36,0.64,5.03,1.27,0.16,0.8,0.36,0.64,5.06,1.28,0.16,0.11,0.06,0.32,0.43,0.11,0.08,0.88,0.68,0.94,9.12,2.31,0.26,0.07,0.08,0.08,1.62,0.41,0.03,0.77,0.31,0.59,3.93,0.99,0.14,0.25,0.82,0.41,0.69,6.2,1.57,0.17,0.75,الكريميت,الفخاخير
2023-2024,Hegeliga,Elhafair,0.77,0.38,0.62,5.08,1.28,0.15,0.78,0.33,0.67,4.82,1.22,0.15,0.52,0.11,0.23,1.25,0.32,0.08,0.86,0.77,0.89,11.61,2.93,0.23,0.05,0.16,0.16,2.18,0.55,0.03,0.75,0.26,0.5,3.39,0.86,0.13,0.25,0.81,0.5,0.74,6.64,1.68,0.17,0.75,هيجليجا,الحفاير
